nohup: ignoring input
Gym has been unmaintained since 2022 and does not support NumPy 2.0 amongst other critical functionality.
Please upgrade to Gymnasium, the maintained drop-in replacement of Gym, or contact the authors of your software and request that they upgrade.
Users of this version of Gym should be able to simply replace 'import gym' with 'import gymnasium as gym' in the vast majority of cases.
See the migration guide at https://gymnasium.farama.org/introduction/migration_guide/ for additional information.
wandb: Tracking run with wandb version 0.21.1
wandb: W&B syncing is set to `offline` in this directory. Run `wandb online` or set WANDB_MODE=online to enable cloud syncing.
wandb: Run data is saved locally in /data1/gushengda/minesweeper/wandb/offline-run-20250809_102159-ku76ejlc
Using device: cuda
Update 119/6103 | Value Loss: 0.256 | Policy Loss: -0.080 | Entropy: 1.721 | Var: 0.181 | SPS: 1835 | Win Rate: 0.400 | ETA: 07:25:03
Update 120/6103 | Value Loss: 0.266 | Policy Loss: -0.071 | Entropy: 1.746 | Var: 0.127 | SPS: 1837 | Win Rate: 0.667 | ETA: 07:24:36
Update 121/6103 | Value Loss: 0.275 | Policy Loss: -0.078 | Entropy: 1.716 | Var: 0.101 | SPS: 1838 | Win Rate: 0.667 | ETA: 07:24:11
Update 122/6103 | Value Loss: 0.271 | Policy Loss: -0.070 | Entropy: 1.728 | Var: 0.132 | SPS: 1839 | Win Rate: 0.000 | ETA: 07:23:49
Update 123/6103 | Value Loss: 0.286 | Policy Loss: -0.074 | Entropy: 1.829 | Var: 0.135 | SPS: 1841 | Win Rate: 0.000 | ETA: 07:23:25
Update 124/6103 | Value Loss: 0.274 | Policy Loss: -0.072 | Entropy: 1.743 | Var: 0.120 | SPS: 1842 | Win Rate: 0.667 | ETA: 07:23:03
Update 125/6103 | Value Loss: 0.276 | Policy Loss: -0.057 | Entropy: 1.739 | Var: 0.104 | SPS: 1843 | Win Rate: 0.500 | ETA: 07:22:39
Update 126/6103 | Value Loss: 0.277 | Policy Loss: -0.074 | Entropy: 1.782 | Var: 0.146 | SPS: 1845 | Win Rate: 0.000 | ETA: 07:22:17
Update 127/6103 | Value Loss: 0.272 | Policy Loss: -0.068 | Entropy: 1.724 | Var: 0.127 | SPS: 1846 | Win Rate: 0.500 | ETA: 07:21:53
Update 128/6103 | Value Loss: 0.275 | Policy Loss: -0.078 | Entropy: 1.691 | Var: 0.107 | SPS: 1846 | Win Rate: 0.500 | ETA: 07:21:42
Update 129/6103 | Value Loss: 0.272 | Policy Loss: -0.078 | Entropy: 1.715 | Var: 0.149 | SPS: 1848 | Win Rate: 0.500 | ETA: 07:21:22
Update 130/6103 | Value Loss: 0.258 | Policy Loss: -0.068 | Entropy: 1.748 | Var: 0.085 | SPS: 1849 | Win Rate: 0.000 | ETA: 07:20:58
Update 131/6103 | Value Loss: 0.268 | Policy Loss: -0.073 | Entropy: 1.727 | Var: 0.134 | SPS: 1850 | Win Rate: 0.250 | ETA: 07:20:33
Update 132/6103 | Value Loss: 0.274 | Policy Loss: -0.075 | Entropy: 1.681 | Var: 0.122 | SPS: 1852 | Win Rate: 0.000 | ETA: 07:20:10
Update 133/6103 | Value Loss: 0.274 | Policy Loss: -0.071 | Entropy: 1.696 | Var: 0.136 | SPS: 1853 | Win Rate: 0.000 | ETA: 07:19:45
Update 134/6103 | Value Loss: 0.268 | Policy Loss: -0.074 | Entropy: 1.642 | Var: 0.146 | SPS: 1854 | Win Rate: 0.714 | ETA: 07:19:22
Update 135/6103 | Value Loss: 0.283 | Policy Loss: -0.069 | Entropy: 1.644 | Var: 0.089 | SPS: 1856 | Win Rate: 0.000 | ETA: 07:18:56
Update 136/6103 | Value Loss: 0.271 | Policy Loss: -0.077 | Entropy: 1.671 | Var: 0.142 | SPS: 1857 | Win Rate: 1.000 | ETA: 07:18:31
Update 137/6103 | Value Loss: 0.280 | Policy Loss: -0.075 | Entropy: 1.721 | Var: 0.082 | SPS: 1859 | Win Rate: 0.333 | ETA: 07:18:10
Update 138/6103 | Value Loss: 0.269 | Policy Loss: -0.075 | Entropy: 1.716 | Var: 0.122 | SPS: 1860 | Win Rate: 0.000 | ETA: 07:17:48
Update 139/6103 | Value Loss: 0.269 | Policy Loss: -0.068 | Entropy: 1.694 | Var: 0.115 | SPS: 1861 | Win Rate: 1.000 | ETA: 07:17:27
Update 140/6103 | Value Loss: 0.283 | Policy Loss: -0.080 | Entropy: 1.719 | Var: 0.114 | SPS: 1862 | Win Rate: 0.500 | ETA: 07:17:04
Update 141/6103 | Value Loss: 0.276 | Policy Loss: -0.074 | Entropy: 1.700 | Var: 0.109 | SPS: 1863 | Win Rate: 0.400 | ETA: 07:16:43
Update 142/6103 | Value Loss: 0.283 | Policy Loss: -0.071 | Entropy: 1.726 | Var: 0.098 | SPS: 1864 | Win Rate: 0.500 | ETA: 07:16:24
Update 143/6103 | Value Loss: 0.257 | Policy Loss: -0.070 | Entropy: 1.715 | Var: 0.153 | SPS: 1865 | Win Rate: 0.250 | ETA: 07:16:07
Update 144/6103 | Value Loss: 0.273 | Policy Loss: -0.080 | Entropy: 1.720 | Var: 0.118 | SPS: 1867 | Win Rate: 0.000 | ETA: 07:15:46
Update 145/6103 | Value Loss: 0.264 | Policy Loss: -0.076 | Entropy: 1.669 | Var: 0.111 | SPS: 1868 | Win Rate: 0.500 | ETA: 07:15:23
Update 146/6103 | Value Loss: 0.283 | Policy Loss: -0.080 | Entropy: 1.683 | Var: 0.108 | SPS: 1868 | Win Rate: 0.500 | ETA: 07:15:13
Update 147/6103 | Value Loss: 0.262 | Policy Loss: -0.076 | Entropy: 1.671 | Var: 0.102 | SPS: 1869 | Win Rate: 0.333 | ETA: 07:14:59
Update 148/6103 | Value Loss: 0.276 | Policy Loss: -0.073 | Entropy: 1.719 | Var: 0.137 | SPS: 1870 | Win Rate: 1.000 | ETA: 07:14:39
Update 149/6103 | Value Loss: 0.257 | Policy Loss: -0.077 | Entropy: 1.678 | Var: 0.143 | SPS: 1871 | Win Rate: 0.000 | ETA: 07:14:16
Update 150/6103 | Value Loss: 0.268 | Policy Loss: -0.076 | Entropy: 1.698 | Var: 0.100 | SPS: 1873 | Win Rate: 0.333 | ETA: 07:13:53
Update 151/6103 | Value Loss: 0.257 | Policy Loss: -0.077 | Entropy: 1.702 | Var: 0.144 | SPS: 1874 | Win Rate: 0.000 | ETA: 07:13:35
